team,team_key,conference,source,rating
Missouri,missouri,SEC,meta:sp_special,-0.5
Missouri,missouri,SEC,meta:talent_raw,808.36
Florida,florida,SEC,fpi,13.575
Florida,florida,SEC,sp_plus,15.2
Florida,florida,SEC,talent,21.9266
Florida,florida,SEC,meta:returning_ppa,143.0
Florida,florida,SEC,meta:sp_defense,15.8
Florida,florida,SEC,meta:sp_offense,30.4
Florida,florida,SEC,meta:sp_special,0.5
Florida,florida,SEC,meta:talent_raw,891.07
BYU,byu,Big 12,fpi,13.125
BYU,byu,Big 12,sp_plus,14.9
BYU,byu,Big 12,talent,1.7435
BYU,byu,Big 12,meta:returning_ppa,284.3
BYU,byu,Big 12,meta:sp_defense,18.3
BYU,byu,Big 12,meta:sp_offense,32.9
BYU,byu,Big 12,meta:sp_special,0.3
BYU,byu,Big 12,meta:talent_raw,689.42
Iowa,iowa,Big Ten,fpi,10.569
Iowa,iowa,Big Ten,sp_plus,14.6
Iowa,iowa,Big Ten,talent,5.0775
Iowa,iowa,Big Ten,meta:returning_ppa,80.4
Iowa,iowa,Big Ten,meta:sp_defense,16.8
Iowa,iowa,Big Ten,meta:sp_offense,30.8
Iowa,iowa,Big Ten,meta:sp_special,0.6
Iowa,iowa,Big Ten,meta:talent_raw,722.73
Clemson,clemson,ACC,fpi,13.421
Clemson,clemson,ACC,sp_plus,13.1
Clemson,clemson,ACC,talent,19.102
Clemson,clemson,ACC,meta:returning_ppa,124.3
Clemson,clemson,ACC,meta:sp_defense,17.1
Clemson,clemson,ACC,meta:sp_offense,29.8
Clemson,clemson,ACC,meta:sp_special,0.3
Clemson,clemson,ACC,meta:talent_raw,862.85
South Carolina,south carolina,SEC,fpi,11.692
South Carolina,south carolina,SEC,sp_plus,12.6
South Carolina,south carolina,SEC,talent,19.104
South Carolina,south carolina,SEC,meta:returning_ppa,148.3
South Carolina,south carolina,SEC,meta:sp_defense,18.1
South Carolina,south carolina,SEC,meta:sp_offense,30.2
South Carolina,south carolina,SEC,meta:sp_special,0.5
South Carolina,south carolina,SEC,meta:talent_raw,862.87
SMU,smu,ACC,fpi,11.117
SMU,smu,ACC,sp_plus,12.1
SMU,smu,ACC,talent,9.2582
SMU,smu,ACC,meta:returning_ppa,219.8
SMU,smu,ACC,meta:sp_defense,20.1
SMU,smu,ACC,meta:sp_offense,32.5
SMU,smu,ACC,meta:sp_special,-0.4
SMU,smu,ACC,meta:talent_raw,764.5
Auburn,auburn,SEC,fpi,12.007
Auburn,auburn,SEC,sp_plus,11.5
Auburn,auburn,SEC,talent,15.6329
Auburn,auburn,SEC,meta:returning_ppa,35.8
Auburn,auburn,SEC,meta:sp_defense,17.3
Auburn,auburn,SEC,meta:sp_offense,28.5
Auburn,auburn,SEC,meta:sp_special,0.3
Auburn,auburn,SEC,meta:talent_raw,828.19
Louisville,louisville,ACC,fpi,9.454
Louisville,louisville,ACC,sp_plus,11.1
Louisville,louisville,ACC,talent,6.8031
Louisville,louisville,ACC,meta:returning_ppa,92.3
Louisville,louisville,ACC,meta:sp_defense,19.8
Louisville,louisville,ACC,meta:sp_offense,30.7
Louisville,louisville,ACC,meta:sp_special,0.2
Louisville,louisville,ACC,meta:talent_raw,739.97
Illinois,illinois,Big Ten,fpi,6.315
Illinois,illinois,Big Ten,sp_plus,10.4
Illinois,illinois,Big Ten,talent,3.2038
Illinois,illinois,Big Ten,meta:returning_ppa,83.5
Illinois,illinois,Big Ten,meta:sp_defense,22.1
Illinois,illinois,Big Ten,meta:sp_offense,32.0
Illinois,illinois,Big Ten,meta:sp_special,0.4
Illinois,illinois,Big Ten,meta:talent_raw,704.01
Vanderbilt,vanderbilt,SEC,fpi,8.986
Vanderbilt,vanderbilt,SEC,sp_plus,9.8
Vanderbilt,vanderbilt,SEC,talent,5.5439
Vanderbilt,vanderbilt,SEC,meta:returning_ppa,203.3
Vanderbilt,vanderbilt,SEC,meta:sp_defense,24.2
Vanderbilt,vanderbilt,SEC,meta:sp_offense,33.3
Vanderbilt,vanderbilt,SEC,meta:sp_special,0.6
Vanderbilt,vanderbilt,SEC,meta:talent_raw,727.39
Utah,utah,Big 12,fpi,8.451
Utah,utah,Big 12,sp_plus,9.8
Utah,utah,Big 12,talent,2.3741
Utah,utah,Big 12,meta:returning_ppa,278.5
Utah,utah,Big 12,meta:sp_defense,22.1
Utah,utah,Big 12,meta:sp_offense,31.9
Utah,utah,Big 12,meta:sp_special,0.0
Utah,utah,Big 12,meta:talent_raw,695.72
Arizona,arizona,Big 12,fpi,7.155
Arizona,arizona,Big 12,sp_plus,9.5
Arizona,arizona,Big 12,talent,2.7614
Arizona,arizona,Big 12,meta:returning_ppa,202.4
Arizona,arizona,Big 12,meta:sp_defense,21.2
Arizona,arizona,Big 12,meta:sp_offense,31.1
Arizona,arizona,Big 12,meta:sp_special,-0.5
Arizona,arizona,Big 12,meta:talent_raw,699.59
TCU,tcu,Big 12,elo,11.2378
TCU,tcu,Big 12,fpi,4.77
TCU,tcu,Big 12,sp_plus,9.4
TCU,tcu,Big 12,talent,5.8842
TCU,tcu,Big 12,meta:elo_raw,1598.0
TCU,tcu,Big 12,meta:returning_ppa,94.3
TCU,tcu,Big 12,meta:sp_defense,21.8
TCU,tcu,Big 12,meta:sp_offense,31.4
TCU,tcu,Big 12,meta:sp_special,-0.2
TCU,tcu,Big 12,meta:talent_raw,730.79
Nebraska,nebraska,Big Ten,fpi,8.842
Nebraska,nebraska,Big Ten,sp_plus,9.3
Nebraska,nebraska,Big Ten,talent,11.5553
Nebraska,nebraska,Big Ten,meta:returning_ppa,146.2
Nebraska,nebraska,Big Ten,meta:sp_defense,20.7
Nebraska,nebraska,Big Ten,meta:sp_offense,30.0
Nebraska,nebraska,Big Ten,meta:sp_special,0.1
Nebraska,nebraska,Big Ten,meta:talent_raw,787.45
Kansas State,kansas state,Big 12,fpi,5.057
Kansas State,kansas state,Big 12,sp_plus,9.2
Kansas State,kansas state,Big 12,talent,4.6711
Kansas State,kansas state,Big 12,meta:returning_ppa,167.8
Kansas State,kansas state,Big 12,meta:sp_defense,23.6
Kansas State,kansas state,Big 12,meta:sp_offense,32.5
Kansas State,kansas state,Big 12,meta:sp_special,0.3
Kansas State,kansas state,Big 12,meta:talent_raw,718.67
Florida State,florida state,ACC,elo,6.9853
Florida State,florida state,ACC,fpi,7.969
Florida State,florida state,ACC,sp_plus,9.1
Florida State,florida state,ACC,talent,12.8314
Florida State,florida state,ACC,meta:elo_raw,1559.0
Florida State,florida state,ACC,meta:returning_ppa,162.9
Florida State,florida state,ACC,meta:sp_defense,20.4
Florida State,florida state,ACC,meta:sp_offense,29.8
Florida State,florida state,ACC,meta:sp_special,-0.3
Florida State,florida state,ACC,meta:talent_raw,800.2
Virginia Tech,virginia tech,ACC,fpi,7.384
Virginia Tech,virginia tech,ACC,sp_plus,8.6
Virginia Tech,virginia tech,ACC,talent,9.7207
Virginia Tech,virginia tech,ACC,meta:returning_ppa,94.3
Virginia Tech,virginia tech,ACC,meta:sp_defense,21.9
Virginia Tech,virginia tech,ACC,meta:sp_offense,30.7
Virginia Tech,virginia tech,ACC,meta:sp_special,-0.2
Virginia Tech,virginia tech,ACC,meta:talent_raw,769.12
Virginia,virginia,ACC,elo,17.1259
Virginia,virginia,ACC,fpi,10.405
Virginia,virginia,ACC,sp_plus,8.1
Virginia,virginia,ACC,talent,2.8205
Virginia,virginia,ACC,meta:elo_raw,1652.0
Virginia,virginia,ACC,meta:returning_ppa,34.9
Virginia,virginia,ACC,meta:sp_defense,18.9
Virginia,virginia,ACC,meta:sp_offense,26.9
Virginia,virginia,ACC,meta:sp_special,0.2
Virginia,virginia,ACC,meta:talent_raw,700.18
Houston,houston,Big 12,fpi,7.12
